Sensor,k,alpha
1,7557.799784132224,-0.13504033196383086
2,21013.674007773203,-0.4699660537453014
3,8222.856404243264,-0.19360450266213136
4,4487.125067347398,-0.15865630982833479
5,6100.219358383539,-0.20400985247369816
6,16652.6111040284,-0.384944320501949
7,8174.540895475053,-0.29025749943558743
8,10087.760187902293,-0.32294272876682995
9,5888.1965635177785,-0.33266190508414784
10,10153.532782215221,-0.3412051278813713
11,9948.970951819514,-0.3458877681002336
12,7984.3940890613485,-0.3403660206575351
13,14931.848780198097,-0.4750409391260868
14,13743.72815873219,-0.4305306717218349
15,39688.85583408839,-1.0215560974400342
16,11478.944256598359,-0.3082002333022962
17,56726.311151675094,-1.0133932645409074
18,17015.78783848505,-0.6066956729344117
19,100902.17329402582,-1.1416309062581564
20,30916.93833101909,-0.677074622005234
21,7534.569797998108,-0.24612964157961592
22,65676.78165014878,-0.890052422908454
23,14884.618426175064,-0.28857398308515464
24,17033.6081521241,-0.3613746984738637
25,13565.918993823978,-0.37862782220709496
26,14653.813303737366,-0.2485253803537643
27,14789.258406646923,-0.2478981845475764
28,13493.634384194376,-0.17228291781524033
29,6113.856693510794,-0.0789884083703812
30,83679.19840244556,-0.8365261614965879
31,9328.237005804858,-0.2091031051823682
32,44646.28522508168,-0.34385549705823704
33,35336.38475650194,-0.29690574523779495
34,25516.068929071815,-0.5557254204488148
35,19311.4650807612,-0.27753536902235965
