Sensor,k,alpha
1,5110.310709389179,-0.2719662971241646
2,4614.436606131064,-0.29436292967766026
3,6580.060219746909,-0.21047776014247357
4,4503.34764717158,-0.2848905764510741
5,4007.217493642103,-0.3169814184179255
6,6969.00800321526,-0.2626834394012597
7,7123.88758162769,-0.3616389445745727
8,6491.385196890273,-0.31634740735109407
9,7870.519033898395,-0.5806209173751122
10,7846.197869537096,-0.4170056958928709
11,5518.299503431964,-0.3297894268060363
12,9573.80664180702,-0.6215712903505943
13,18782.043889437096,-0.6151348405499418
14,8907.9447021751,-0.39285735776419617
15,10964.420996493316,-0.4498357013838789
16,10027.511984021929,-0.31433531395058034
17,9336.660305605694,-0.4262852596140322
18,10181.010672055267,-0.40510778633637823
19,10430.684326402663,-0.25269317742929276
20,8195.686886362382,-0.3029051796379698
21,4370.911068452611,-0.17822451188282926
22,7625.948170951078,-0.473017786552041
23,15510.312567134928,-0.38178723806742454
24,21193.564586723187,-0.5523828214966126
25,28814.09199073262,-0.684034568535337
26,8595.71875395547,-0.3736234031474827
27,10363.559520797446,-0.1882586979081762
28,10472.175583637698,-0.4585881316936113
29,9163.091761214897,-0.3130607998140067
30,7506.790434987384,-0.3560598305227723
31,5931.076444882817,-0.3534493191996641
32,7665.116016297511,-0.17856818055487816
33,11502.97744405553,-0.4267767230997971
34,10722.495904456022,-0.25717325394155865
35,8747.947497157616,-0.3938276149616637
